country,2017,2018,2019,2020,2021
Zambia,8722572,9551926,7226897,5378310,7111525
Malta,5998613,6775027,7382917,5236991,7075037
Mongolia,4337320,5874788,6127356,5298771,6848642
Albania,5293902,5941287,5908003,5410943,6731403
Sudan,10276865,10483741,8212970,8488688,6451116
Botswana,5329442,5921256,6558523,6503332,6227954
Namibia,7033407,8288940,7715202,6612697,5860356
Afghanistan,7792600,7406590,6776781,8725282,5741633
Trinidad and Tobago,7481925,7974233,6321731,4864446,5734661
Kyrgyzstan,4481291,4907400,4903813,3684109,5570126
Djibouti,4868142,5808980,5299788,5433805,5566969
Lao People's Democratic Republic,5159709,5848036,5797446,5023261,5420341
Uganda,5595535,6729377,7696029,8250512,5353297
Armenia,3893455,4849935,5071644,4565235,5319420
Mauritius,4904435,5627974,5600488,4241133,5179825
Jamaica,5818098,6125969,6389127,4697765,5126448
Guinea,4211098,4449668,4499662,4921684,5111165
Syrian Arab Republic,6266040,6826282,6453092,4949954,4781896
Burkina Faso,3714831,4307535,4259342,4185113,4712360
Haiti,2175673,4329350,3841823,4232816,4584771
Mali,4336565,4605478,5049220,4655138,4517594
Cuba,10171983,11484223,5838592,3993685,4382902
Madagascar,3657145,3929416,3896887,3227340,4380344
Papua New Guinea,4445672,4487486,4288557,3867778,4290235
Tajikistan,2774436,3144346,3327744,3139016,4217492
Guyana,1758387,3983138,5980170,2486490,4146385
Mauritania,3529852,3182601,3519825,2859115,3860465
Turkmenistan,4404793,2802155,3367806,3361932,3816327
Somalia,3410577,3689070,3910656,4236208,3313465
Benin,3208856,3348332,2936094,2660628,3188248
Niger,1840612,2565221,2772522,3026110,2784744
Maldives,2359368,2960470,2887083,1837143,2580550
Montenegro,2303503,2553580,2600771,2102881,2504294
Togo,1628460,1917020,1964438,2160154,2493138
Congo,4636453,3515399,2302133,1912607,2351503
New Caledonia,2184001,2471426,2554128,2158788,2258868
British Virgin Islands,1153007,1706317,1827400,1122923,2153754
Eswatini,1608887,1869213,1841927,1605274,2122859
Fiji,2418739,2735378,2785913,1733489,2117133
Gabon,2278877,2624154,2327308,2327694,2096378
Free Zones,3932467,4130935,2124062,2215138,2095161
Rwanda,2947849,2971519,3195163,1585610,2062348
West Asia not elsewhere specified,3147243,2774521,,142258,1696646
Cura�ao,1276160,1379347,1201848,1003430,1682012
Barbados,1600169,1600119,1581059,1501237,1673621
Lesotho,2068308,1128750,1369285,1480789,1621603
French Polynesia,1665697,2264500,2118986,1714131,1610928
Sierra Leone,1088995,988787,1185788,1207008,1574859
Andorra,1478293,1609394,1479115,1540658,1567163
Malawi,2562126,2707070,2941148,2730273,1566991
Cayman Islands,,,,1334620,1537820
Saint Lucia,663695,672950,623793,532953,1513959
Suriname,1208805,1526898,1711450,1533107,1381166
Faroe Islands,988321,1114490,1178798,1163841,1327523
Aruba,1194660,1245166,1320446,939368,1169774
"Palestine, State of",5853850,6539590,6613454,6063435,1135785
Bhutan,556310,814609,825171,830225,1115492
Belize,907654,957740,985894,787099,1057442
Bermuda,1078214,1072065,1119092,903957,1055227
United States Minor Outlying Islands,1137195,1342911,1284143,1554302,1020983
Burundi,785932,794111,887345,909131,981086
Greenland,760312,829150,1015219,797606,948487
Cabo Verde,793599,814605,789807,735266,890613
Chad,610801,910041,1006714,1028675,855058
Equatorial Guinea,868298,1064297,1029325,1210120,845788
Timor-Leste,588047,477168,546499,626513,819942
Gambia,559959,678660,620510,674761,708977
Dominica,385786,434077,537666,239456,687580
Seychelles,1355526,1894602,1474528,1065045,629184
"Bonaire, Sint Eustatius and Saba",435525,613331,396788,250629,581930
Solomon Islands,571770,601389,421306,359352,480643
Antigua and Barbuda,530836,569154,568334,422167,479796
Grenada,405427,514806,479835,394552,446676
Turks and Caicos Islands,426737,500707,426795,316157,444113
Comoros,209226,231619,203688,268161,442884
South Sudan,301227,467797,609620,1021261,423149
Guinea-Bissau,176914,165737,337487,331876,400866
Saint Vincent and the Grenadines,330071,353642,334950,321194,372388
Samoa,355822,365733,391086,311893,370236
Vanuatu,347244,328898,286876,251611,339022
"Korea, Democratic People's Republic of",3555095,2328292,2711561,568218,276652
Central African Republic,417274,384386,567832,544916,269084
Saint Kitts and Nevis,308947,384124,356889,298541,266477
Tonga,172910,198680,212375,176458,221989
Eritrea,406585,411075,388392,361743,216618
Kiribati,107885,102650,,108947,169732
Tuvalu,86098,87010,90617,109458,168532
Sao Tome and Principe,149694,155308,147896,138291,166275
Cook Islands,142189,142531,198524,89118,148202
Falkland Islands (Malvinas),119063,132596,99091,113349,140720
"Micronesia, Federated States of",209323,135081,129876,142182,132574
Palau,157813,154413,110899,96657,127526
Sint Maarten (Dutch part),155328,208715,171742,118854,116798
Anguilla,106548,144666,98268,67580,116294
Nauru,48145,127409,96784,117901,111655
French Southern and Antarctic Territories,58322,37540,67659,55210,81530
Saint Pierre and Miquelon,58298,47902,49153,74497,76433
"North America and Central America, nes",,,,,69657
Northern Mariana Islands,152179,171509,170556,112785,64894
British Indian Ocean Territory,79835,50753,73421,44257,64403
Saint Helena,45813,38213,34895,53211,51714
Wallis and Futuna Islands,37863,39848,46233,40427,50731
American Samoa,59099,65198,76155,52316,48750
Christmas Island,31688,31490,28316,24508,40945
Western Sahara,79548,10873,21755,9062,37006
Norfolk Island,49092,23916,27293,49120,35941
Guam,21558,22309,23757,10398,32838
Niue,14193,21002,21451,10859,28252
Montserrat,30150,35593,32562,30657,18434
Cocos (Keeling) Islands,9814,7399,8135,6927,14848
Tokelau,48822,29177,12379,15019,9393
Pitcairn,4388,3555,6066,2739,4040
Neutral Zone,,125,69,1281,3345
Bouvet Island,,11,115,41,44
British Antarctic Territory,,,,3,2
Caribbean Nes,230,,1,,
