Country Name	Country Code	Indicator Name	Indicator Code	2017.00	2018.00	2019.00	2020.00	2021.00
Colombia	COL	GDP (current US$)	NY.GDP.MKTP.CD	311883730690.13	334198214706.21	323109543324.32	270299982887.01	314322453228.30
Comoros	COM	GDP (current US$)	NY.GDP.MKTP.CD	1077439662.58	1188797574.95	1195019559.09	1223876064.52	1327964249.33
Cabo Verde	CPV	GDP (current US$)	NY.GDP.MKTP.CD	1769787215.42	1966501117.61	1981845740.71	1703698676.70	1936174043.45
Costa Rica	CRI	GDP (current US$)	NY.GDP.MKTP.CD	60516043590.18	62420165099.72	64417670082.61	62158002233.03	64282438666.74
Caribbean small states	CSS	GDP (current US$)	NY.GDP.MKTP.CD	72533236071.42	75431169087.57	77023818120.75	65922853040.93	69970323144.29
Cuba	CUB	GDP (current US$)	NY.GDP.MKTP.CD	96851000000.00	100050000000.00	103428000000.00	107352000000.00	
Curacao	CUW	GDP (current US$)	NY.GDP.MKTP.CD	3009497206.70	3020388817.27	2995185487.30	2496174735.65	
Cayman Islands	CYM	GDP (current US$)	NY.GDP.MKTP.CD	5166467286.75	5530377593.30	5943589095.55	5608989195.53	
Cyprus	CYP	GDP (current US$)	NY.GDP.MKTP.CD	22870833709.90	25522671232.88	25758357774.54	24692095945.17	27719337670.02
Czech Republic	CZE	GDP (current US$)	NY.GDP.MKTP.CD	218628940951.68	248950103352.14	252498032247.16	245339322066.76	282340849856.61
Germany	DEU	GDP (current US$)	NY.GDP.MKTP.CD	3690849152517.65	3977289455388.23	3888326788627.44	3846413928653.71	4223116205968.92
Djibouti	DJI	GDP (current US$)	NY.GDP.MKTP.CD	2762581334.23	2913466732.13	3088853638.57	3181071153.66	3371102123.51
Dominica	DMA	GDP (current US$)	NY.GDP.MKTP.CD	521551851.85	554770370.37	611537037.04	504214814.81	545618518.52
Denmark	DNK	GDP (current US$)	NY.GDP.MKTP.CD	332121063806.39	356841216410.07	347561349210.98	356084867685.64	397104343478.30
Dominican Republic	DOM	GDP (current US$)	NY.GDP.MKTP.CD	79997975621.87	85555378042.82	88941299733.50	78844702329.08	94243453937.45
Algeria	DZA	GDP (current US$)	NY.GDP.MKTP.CD	170097014589.13	174910878623.05	171767403748.19	145009181490.62	167983141738.31
East Asia & Pacific (excluding high income)	EAP	GDP (current US$)	NY.GDP.MKTP.CD	14877258915652.80	16638962757093.70	17203906511529.00	17483820589534.50	20746563721663.30
Early-demographic dividend	EAR	GDP (current US$)	NY.GDP.MKTP.CD	11291259618576.30	11401133321555.30	11643791832112.30	10841710191637.60	12618119605215.00
East Asia & Pacific	EAS	GDP (current US$)	NY.GDP.MKTP.CD	24325231732305.30	26481019943236.60	27024079763932.20	27118722832657.50	30880832035117.60
Europe & Central Asia (excluding high income)	ECA	GDP (current US$)	NY.GDP.MKTP.CD	3118192978608.20	3182530249215.21	3249705581846.91	2980726151029.73	3499151501974.59
Europe & Central Asia	ECS	GDP (current US$)	NY.GDP.MKTP.CD	21680175761930.60	23224055731756.60	22941556433612.10	22133908631128.10	25046912741672.40
Ecuador	ECU	GDP (current US$)	NY.GDP.MKTP.CD	104295862000.00	107562008000.00	108108009000.00	99291124000.00	106165866000.00
"Egypt, Arab Rep."	EGY	GDP (current US$)	NY.GDP.MKTP.CD	235733695652.17	249712999437.25	303080865603.65	365252651278.85	404142766093.05
Euro area	EMU	GDP (current US$)	NY.GDP.MKTP.CD	12677749892531.30	13699406014418.10	13416061270575.30	13027258675468.30	14493212396452.50
Eritrea	ERI	GDP (current US$)	NY.GDP.MKTP.CD					
Spain	ESP	GDP (current US$)	NY.GDP.MKTP.CD	1312539279462.36	1420994142512.16	1393046093137.25	1281484640043.58	1425276586282.92
Estonia	EST	GDP (current US$)	NY.GDP.MKTP.CD	26924385103.07	30489500904.86	31045591753.49	30650285471.72	36262924353.60
Ethiopia	ETH	GDP (current US$)	NY.GDP.MKTP.CD	81770791970.98	84269348327.35	95912590628.14	107657734392.45	111271112329.98
European Union	EUU	GDP (current US$)	NY.GDP.MKTP.CD	14766273067392.10	15978719985091.50	15691850452107.30	15300141971364.80	17088620744318.80
Fragile and conflict affected situations	FCS	GDP (current US$)	NY.GDP.MKTP.CD	1580890166457.95	1603272031249.36	1689423709082.73	1561506152786.47	1644875126140.77
Finland	FIN	GDP (current US$)	NY.GDP.MKTP.CD	255647979916.47	275715087494.90	268508200125.49	271836962949.42	299155237589.14
Fiji	FJI	GDP (current US$)	NY.GDP.MKTP.CD	5353404422.08	5581371850.15	5496264765.78	4574413823.31	4592118709.55
France	FRA	GDP (current US$)	NY.GDP.MKTP.CD	2595151045197.65	2790956878746.66	2728870246705.88	2630317731455.26	2937472757953.44
Faroe Islands	FRO	GDP (current US$)	NY.GDP.MKTP.CD	2969876872.28	3180074747.41	3268839775.69	3240759988.99	
"Micronesia, Fed. Sts."	FSM	GDP (current US$)	NY.GDP.MKTP.CD	366666800.00	401932300.00	412479413.36	407515927.98	404178049.75
Gabon	GAB	GDP (current US$)	NY.GDP.MKTP.CD	14929488770.73	16867325126.54	16874405839.79	15316824039.33	18269350433.80
United Kingdom	GBR	GDP (current US$)	NY.GDP.MKTP.CD	2699016715111.39	2900791442554.06	2878673912414.44	2756900214107.32	3186859739185.02
Georgia	GEO	GDP (current US$)	NY.GDP.MKTP.CD	16242916915.72	17596922469.92	17470436258.51	15842922532.72	18700241392.16
Ghana	GHA	GDP (current US$)	NY.GDP.MKTP.CD	60406382898.52	67299280679.56	68337537815.77	70043199813.69	77594279054.88
Gibraltar	GIB	GDP (current US$)	NY.GDP.MKTP.CD					
Guinea	GIN	GDP (current US$)	NY.GDP.MKTP.CD	10324668266.59	11857030336.53	13442861443.75	14169626010.12	15850520383.99
"Gambia, The"	GMB	GDP (current US$)	NY.GDP.MKTP.CD	1504909753.29	1670670668.59	1813608279.65	1830412999.96	2078070683.55
Guinea-Bissau	GNB	GDP (current US$)	NY.GDP.MKTP.CD	1350177127.55	1504630120.99	1439638443.38	1431758242.90	1638517533.17
Equatorial Guinea	GNQ	GDP (current US$)	NY.GDP.MKTP.CD	12200912828.37	13097011208.46	11364134108.62	10099157269.80	12269392788.74
Greece	GRC	GDP (current US$)	NY.GDP.MKTP.CD	199844406013.53	212049447242.11	205144152830.85	188835201625.91	216240589485.26
Grenada	GRD	GDP (current US$)	NY.GDP.MKTP.CD	1125685185.19	1166523555.56	1213485185.19	1043411111.11	1122083185.19
Greenland	GRL	GDP (current US$)	NY.GDP.MKTP.CD	2851610655.92	3055791340.70	2994332323.75	3075968328.70	
Guatemala	GTM	GDP (current US$)	NY.GDP.MKTP.CD	71654134378.53	73208583758.91	77020015201.32	77604632620.65	85986321551.24
Guam	GUM	GDP (current US$)	NY.GDP.MKTP.CD	6013000000.00	6060000000.00	6364000000.00	5844000000.00	
Guyana	GUY	GDP (current US$)	NY.GDP.MKTP.CD	4748174334.14	4787636237.24	5173760191.85	5471256594.72	7409179920.86
High income	HIC	GDP (current US$)	NY.GDP.MKTP.CD	51558534599568.80	54815581180361.50	55289237589071.70	53699833079337.60	59445422597098.50
"Hong Kong SAR, China"	HKG	GDP (current US$)	NY.GDP.MKTP.CD	341273289534.47	361731070995.73	363052489184.40	344881400505.34	368139247671.49
Honduras	HND	GDP (current US$)	NY.GDP.MKTP.CD	23136232229.61	24067778953.84	25089976946.77	23827840809.70	28488668301.64
Heavily indebted poor countries (HIPC)	HPC	GDP (current US$)	NY.GDP.MKTP.CD	808758193981.08	770227091403.54	797617929913.55	803283582149.53	894494280734.03
Croatia	HRV	GDP (current US$)	NY.GDP.MKTP.CD	56214427431.20	62247874948.82	62246206340.55	57203783203.03	67837788543.59
Haiti	HTI	GDP (current US$)	NY.GDP.MKTP.CD	15035560372.64	16455034352.77	14785839382.90	14508218017.40	20944392615.08
Hungary	HUN	GDP (current US$)	NY.GDP.MKTP.CD	143136245596.99	160586833778.46	163526491433.29	156743134665.96	182280517581.21
IBRD only	IBD	GDP (current US$)	NY.GDP.MKTP.CD	28755722549809.30	30580348814900.70	31244154278543.70	30032432470232.90	35451524325722.90
IDA & IBRD total	IBT	GDP (current US$)	NY.GDP.MKTP.CD	30949196507979.80	32816676763015.10	33581689373310.40	32364941970351.30	37997904401783.50
IDA total	IDA	GDP (current US$)	NY.GDP.MKTP.CD	2193037942018.33	2236771221490.87	2337492148245.30	2332329928471.15	2544817395142.83
IDA blend	IDB	GDP (current US$)	NY.GDP.MKTP.CD	959820517813.63	1007826238815.28	1040154261857.99	999383582141.34	1090090509343.12
Indonesia	IDN	GDP (current US$)	NY.GDP.MKTP.CD	1015618742565.81	1042271531011.99	1119099868265.25	1058688935454.78	1186092991320.04
IDA only	IDX	GDP (current US$)	NY.GDP.MKTP.CD	1233217424204.70	1228944982675.59	1297337886387.31	1333641390974.43	1455496866167.88
Isle of Man	IMN	GDP (current US$)	NY.GDP.MKTP.CD	6979581724.58	7491969312.88	7315388052.08		
India	IND	GDP (current US$)	NY.GDP.MKTP.CD	2651472946374.91	2702929718960.46	2831552222519.99	2667687951796.56	3173397590816.91
Not classified	INX	GDP (current US$)	NY.GDP.MKTP.CD					
Ireland	IRL	GDP (current US$)	NY.GDP.MKTP.CD	335430829594.03	385041711506.23	399122063504.15	425888950992.00	498559576714.72
"Iran, Islamic Rep."	IRN	GDP (current US$)	NY.GDP.MKTP.CD	486630146443.62	330991589888.99	291362916336.42	231547571240.47	
Iraq	IRQ	GDP (current US$)	NY.GDP.MKTP.CD	187217660050.68	227367469034.03	233636097800.34	184369797315.44	207889333724.14
Iceland	ISL	GDP (current US$)	NY.GDP.MKTP.CD	24728285177.46	26267063757.55	24857740445.04	21718075725.21	25458933915.87
Israel	ISR	GDP (current US$)	NY.GDP.MKTP.CD	355277223507.49	373641241440.79	397934596952.56	407100736594.06	481591266133.41
Italy	ITA	GDP (current US$)	NY.GDP.MKTP.CD	1961796197354.36	2091932426266.98	2011285742552.15	1892574064222.11	2099880198258.88
Jamaica	JAM	GDP (current US$)	NY.GDP.MKTP.CD	14808989993.32	15730793852.79	15830768549.89	13812425036.59	13638230995.68
Jordan	JOR	GDP (current US$)	NY.GDP.MKTP.CD	41408960845.07	42932112676.06	44502895915.49	43697659295.77	45243661971.83
Japan	JPN	GDP (current US$)	NY.GDP.MKTP.CD	4930837369151.42	5037835383110.97	5123318151510.62	5040107754084.11	4937421880461.55
Kazakhstan	KAZ	GDP (current US$)	NY.GDP.MKTP.CD	166805800595.70	179339994859.38	181667190075.54	171082379532.99	190814274226.21
Kenya	KEN	GDP (current US$)	NY.GDP.MKTP.CD	82035800868.19	92202956320.53	100379713697.42	100666542665.72	110347079517.36
Kyrgyz Republic	KGZ	GDP (current US$)	NY.GDP.MKTP.CD	7702934800.13	8271108638.40	8871026074.20	7780874536.66	8543423502.61
Cambodia	KHM	GDP (current US$)	NY.GDP.MKTP.CD	22177200511.58	24571753583.49	27089389786.98	25872798012.19	26961061119.80
Kiribati	KIR	GDP (current US$)	NY.GDP.MKTP.CD	188192060.09	196230573.82	177935349.32	180911843.64	
St. Kitts and Nevis	KNA	GDP (current US$)	NY.GDP.MKTP.CD	1060638333.33	1078505888.89	1164877851.85	980905888.89	976150666.67
"Korea, Rep."	KOR	GDP (current US$)	NY.GDP.MKTP.CD	1623901496835.79	1724845615629.26	1651422932447.77	1637895802792.90	1798533915091.14
Kuwait	KWT	GDP (current US$)	NY.GDP.MKTP.CD	120707435542.37	138182400493.59	136196760180.98	105960225688.15	
Latin America & Caribbean (excluding high income)	LAC	GDP (current US$)	NY.GDP.MKTP.CD	4985190331086.06	4840908109011.91	4778836894074.21	3997944092006.99	4607069828667.43
