Country Name	Country Code	Indicator Name	Indicator Code	2017.00	2018.00	2019.00	2020.00	2021.00
Qatar	QAT	GDP (current US$)	NY.GDP.MKTP.CD	161099122215.31	183334953813.21	175837550996.19	144411363345.27	179570783550.55
Romania	ROU	GDP (current US$)	NY.GDP.MKTP.CD	211695422578.66	241457403085.04	249881592298.07	249511333647.50	284087563695.80
Russian Federation	RUS	GDP (current US$)	NY.GDP.MKTP.CD	1574199387070.90	1657329646183.62	1693113904262.89	1488321875489.74	1775799919352.98
Rwanda	RWA	GDP (current US$)	NY.GDP.MKTP.CD	9252834120.39	9642440645.81	10356327149.43	10184345442.17	11070356519.48
South Asia	SAS	GDP (current US$)	NY.GDP.MKTP.CD	3426790936090.99	3527312593331.06	3648731786168.25	3482474115840.58	4087773969795.48
Saudi Arabia	SAU	GDP (current US$)	NY.GDP.MKTP.CD	688586094412.68	816578674529.14	803616264791.02	703367841222.56	833541236569.32
Sudan	SDN	GDP (current US$)	NY.GDP.MKTP.CD	129717804934.61	32333780383.29	32338079165.29	26987563444.15	34326058557.44
Senegal	SEN	GDP (current US$)	NY.GDP.MKTP.CD	20996564751.60	23116897847.05	23398811423.58	24493157583.23	27625388352.17
Singapore	SGP	GDP (current US$)	NY.GDP.MKTP.CD	343193352161.63	376998146500.59	375472731271.08	345295933898.67	396986899888.35
Solomon Islands	SLB	GDP (current US$)	NY.GDP.MKTP.CD	1483793468.06	1574622018.23	1570093229.26	1545888426.23	1645213881.62
Sierra Leone	SLE	GDP (current US$)	NY.GDP.MKTP.CD	3719369107.35	4085114794.22	4076578542.56	4063289449.59	4200380124.33
El Salvador	SLV	GDP (current US$)	NY.GDP.MKTP.CD	24979190000.00	26020850000.00	26896660000.00	24638720000.00	28736940000.00
San Marino	SMR	GDP (current US$)	NY.GDP.MKTP.CD	1528630704.93	1655300897.50	1616231696.05	1544713784.68	
Somalia	SOM	GDP (current US$)	NY.GDP.MKTP.CD	5609000000.00	5850677295.70	6476674591.87	6965285324.52	7292721820.00
Serbia	SRB	GDP (current US$)	NY.GDP.MKTP.CD	44179055279.89	50640650221.46	51514222381.84	53335016425.41	63068134601.13
Sub-Saharan Africa (excluding high income)	SSA	GDP (current US$)	NY.GDP.MKTP.CD	1702822553872.21	1731075868040.73	1790392859446.62	1704891034067.33	1916583951084.67
South Sudan	SSD	GDP (current US$)	NY.GDP.MKTP.CD					
Sub-Saharan Africa	SSF	GDP (current US$)	NY.GDP.MKTP.CD	1704395982149.33	1732712178090.13	1792077087975.30	1706091668556.67	1917904004877.71
Small states	SST	GDP (current US$)	NY.GDP.MKTP.CD	481182224483.51	528083646431.50	520430771503.02	452015509831.43	526938134965.75
Sao Tome and Principe	STP	GDP (current US$)	NY.GDP.MKTP.CD	375614126.19	412253809.73	427425039.68	472914469.92	547092915.04
Suriname	SUR	GDP (current US$)	NY.GDP.MKTP.CD	3591623596.03	3996247906.20	3984483762.37	2884248048.49	2862131979.70
Slovak Republic	SVK	GDP (current US$)	NY.GDP.MKTP.CD	95393515077.75	105612792516.58	105284375640.70	105172564491.57	114870706410.17
Slovenia	SVN	GDP (current US$)	NY.GDP.MKTP.CD	48589100043.10	54163591695.32	54178877606.00	53589609580.71	61526331889.50
Sweden	SWE	GDP (current US$)	NY.GDP.MKTP.CD	541018749769.10	555455371487.09	533879529188.45	541487151474.56	627437898887.29
Eswatini	SWZ	GDP (current US$)	NY.GDP.MKTP.CD	4402969225.92	4666784617.60	4466066557.38	3984840580.41	4941373182.08
Sint Maarten (Dutch part)	SXM	GDP (current US$)	NY.GDP.MKTP.CD	1191620111.73	1185474860.34			
Seychelles	SYC	GDP (current US$)	NY.GDP.MKTP.CD	1573428277.12	1636310049.40	1684228528.67	1200634489.35	1320053793.04
Syrian Arab Republic	SYR	GDP (current US$)	NY.GDP.MKTP.CD	16340665431.52	21445775363.86			
Turks and Caicos Islands	TCA	GDP (current US$)	NY.GDP.MKTP.CD	1022365000.00	1113178000.00	1197415000.00	924583000.00	943269768.00
Chad	TCD	GDP (current US$)	NY.GDP.MKTP.CD	10000395242.15	11239167048.49	11314951342.78	10715396135.42	11779980801.78
East Asia & Pacific (IDA & IBRD countries)	TEA	GDP (current US$)	NY.GDP.MKTP.CD	14858085911410.50	16617566546821.70	17181787022158.20	17461284721761.50	20719819524210.80
Europe & Central Asia (IDA & IBRD countries)	TEC	GDP (current US$)	NY.GDP.MKTP.CD	3912611705923.38	4073647272410.63	4159113945157.09	3884826500881.03	4525639233067.13
Togo	TGO	GDP (current US$)	NY.GDP.MKTP.CD	6395472574.41	7112200725.00	7220395247.74	7574636978.66	8413200567.62
Thailand	THA	GDP (current US$)	NY.GDP.MKTP.CD	456356961443.50	506754616189.32	544081056184.70	499681757030.97	505981655622.31
Tajikistan	TJK	GDP (current US$)	NY.GDP.MKTP.CD	7536439875.08	7765014424.34	8300784856.88	8133996647.90	8746270636.40
Turkmenistan	TKM	GDP (current US$)	NY.GDP.MKTP.CD	37926285714.29	40765428571.43	45231428571.43		
Latin America & the Caribbean (IDA & IBRD countries)	TLA	GDP (current US$)	NY.GDP.MKTP.CD	5591255025851.83	5460183049715.07	5372623255716.85	4495215145995.85	5202510610993.79
Timor-Leste	TLS	GDP (current US$)	NY.GDP.MKTP.CD	1615609700.00	1583876200.00	2047931700.00	1902156800.00	1959134743.84
Middle East & North Africa (IDA & IBRD countries)	TMN	GDP (current US$)	NY.GDP.MKTP.CD	1439065787706.94	1364248347470.91	1374849440489.58	1248309123457.61	1437882615132.05
Tonga	TON	GDP (current US$)	NY.GDP.MKTP.CD	460379144.99	489235527.40	512350059.42	488829964.07	
South Asia (IDA & IBRD)	TSA	GDP (current US$)	NY.GDP.MKTP.CD	3426790936090.99	3527312593331.06	3648731786168.25	3482474115840.58	4087773969795.48
Sub-Saharan Africa (IDA & IBRD countries)	TSS	GDP (current US$)	NY.GDP.MKTP.CD	1704395982149.33	1732712178090.13	1792077087975.30	1706091668556.67	1917904004877.71
Trinidad and Tobago	TTO	GDP (current US$)	NY.GDP.MKTP.CD	23180107751.92	23820742956.97	23886216403.35	21392536137.77	21391802311.01
Tunisia	TUN	GDP (current US$)	NY.GDP.MKTP.CD	42164007605.19	42685972269.45	41772900763.36	42514151614.28	46840042941.49
Turkiye	TUR	GDP (current US$)	NY.GDP.MKTP.CD	858996263095.86	778471901665.15	761004425605.41	719954821683.31	815271751724.42
Tuvalu	TUV	GDP (current US$)	NY.GDP.MKTP.CD	45217657.88	47818290.50	54223149.11	55054710.62	63100961.54
Tanzania	TZA	GDP (current US$)	NY.GDP.MKTP.CD	53320625958.56	57003713610.76	61136873692.40	62409709110.95	67775101794.35
Uganda	UGA	GDP (current US$)	NY.GDP.MKTP.CD	30744473911.53	32927025573.43	35353060634.20	37600368180.94	40434701516.95
Ukraine	UKR	GDP (current US$)	NY.GDP.MKTP.CD	112090530368.54	130891049796.88	153882982016.28	156617861448.58	200085537744.35
Upper middle income	UMC	GDP (current US$)	NY.GDP.MKTP.CD	21643735891993.60	23303518315441.70	23686292124212.10	22848294411119.40	27104280387250.60
Uruguay	URY	GDP (current US$)	NY.GDP.MKTP.CD	64233966861.25	64515038268.14	61231149880.59	53560755046.57	59319547636.09
United States	USA	GDP (current US$)	NY.GDP.MKTP.CD	19479620056000.00	20527156026000.00	21372572437000.00	20893743833000.00	22996100000000.00
Uzbekistan	UZB	GDP (current US$)	NY.GDP.MKTP.CD	62081323299.03	52633143808.18	59907674027.47	59894305352.90	69238903106.17
St. Vincent and the Grenadines	VCT	GDP (current US$)	NY.GDP.MKTP.CD	847620214.76	884328180.53	910149698.91	872134546.80	889775243.38
"Venezuela, RB"	VEN	GDP (current US$)	NY.GDP.MKTP.CD					
British Virgin Islands	VGB	GDP (current US$)	NY.GDP.MKTP.CD					
Virgin Islands (U.S.)	VIR	GDP (current US$)	NY.GDP.MKTP.CD	3794000000.00	3922000000.00	4117000000.00	4204000000.00	
Vietnam	VNM	GDP (current US$)	NY.GDP.MKTP.CD	281353402175.24	308702086757.62	330391329475.73	343242570827.35	362637524070.97
Vanuatu	VUT	GDP (current US$)	NY.GDP.MKTP.CD	880062103.05	914736985.43	936526267.62	896827873.11	983469256.85
World	WLD	GDP (current US$)	NY.GDP.MKTP.CD	81403977427442.60	86413032779060.00	87652863215992.70	84906814189239.50	96100091004540.90
Samoa	WSM	GDP (current US$)	NY.GDP.MKTP.CD	832025556.08	821286938.90	852007104.66	807147527.62	788389971.60
Kosovo	XKX	GDP (current US$)	NY.GDP.MKTP.CD	7180813375.51	7878508502.60	7899879086.43	7716925356.13	9007159195.74
"Yemen, Rep."	YEM	GDP (current US$)	NY.GDP.MKTP.CD	26842231204.80	21606161066.21	21887614217.17	18840511908.25	21061691629.54
South Africa	ZAF	GDP (current US$)	NY.GDP.MKTP.CD	381448814653.46	404842116738.07	387934574098.17	335442101366.42	419946428126.01
Zambia	ZMB	GDP (current US$)	NY.GDP.MKTP.CD	25873601260.84	26311590296.70	23308667781.23	18110631358.31	21203059080.35
Zimbabwe	ZWE	GDP (current US$)	NY.GDP.MKTP.CD	17584890936.65	18115543790.79	19284289739.05	18051170798.94	26217726717.34
